Time (s)	mag_x	mag_y	mag_z
1479414257.593148	27.212990	49.840777	30.690279
1479414257.617100	26.802189	51.561693	30.237593
1479414257.671406	26.121302	53.032220	29.829167
1479414257.683404	25.894152	53.142575	29.960132
1479414257.701003	25.422743	53.645702	29.504278
1479414257.725299	23.961760	54.370205	29.352411
1479414257.749032	22.766011	54.723262	28.610498
1479414257.773075	21.928310	54.990702	28.233783
1479414257.803071	21.725322	54.982099	28.034732
1479414257.827227	21.363660	55.474405	27.879308
1479414257.839181	21.363819	55.649447	27.699463
1479414257.851025	21.581212	55.582059	27.765821
1479414257.868911	21.320595	55.804711	27.678751
1479414257.881040	21.112101	55.982833	27.609096
1479414257.904992	21.072589	55.990422	27.256510
1479414257.934822	21.858426	56.133560	27.731637
1479414257.958965	22.737956	56.197512	27.447061
1479414257.971391	22.752943	56.504496	27.213509
1479414257.995226	23.353900	56.669989	26.737038
1479414258.019166	23.419856	56.803561	26.572253
1479414258.037085	23.950260	57.196757	26.723897
1479414258.127110	24.504678	58.988845	24.894404
1479414258.139016	24.383587	59.498109	24.400524
1479414258.151209	24.141870	60.182082	24.145576
1479414258.163187	23.948496	60.729261	23.941618
1479414258.175035	24.011063	61.374426	23.428061
1479414258.223116	24.060771	63.316898	21.811712
1479414258.229216	24.173305	63.928520	21.373745
1479414258.253122	24.407775	64.601834	20.252526
1479414258.517104	30.947064	69.286771	12.448117
1479414258.541180	30.104513	70.354240	11.877155
1479414258.559065	30.022204	70.664643	11.463912
1479414258.565162	30.101201	70.912967	10.572692
1479414258.583288	30.164399	71.111625	9.859716
1479414258.595263	29.563160	71.616255	9.779883
1479414258.607314	29.154591	71.397693	9.645938
1479414258.625053	28.827736	71.222844	9.538782
1479414258.631235	28.131720	71.497808	9.312901
1479414258.643180	27.574908	71.717780	9.132196
1479414258.661020	27.491567	71.409772	8.497085
1479414258.679028	27.207629	71.647351	8.339387
1479414258.685277	26.980479	71.837414	8.213229
1479414258.697247	26.219384	72.127745	7.972146
1479414258.709242	25.610507	72.360011	7.358810
1479414258.943195	18.691833	76.304036	-1.938562
1479414258.985031	18.927125	76.519765	-5.169200
1479414259.009259	18.834111	76.739528	-7.316757
1479414259.033127	18.832519	76.769551	-9.532132
1479414259.248887	20.410837	72.464901	-31.942988
1479414259.255258	20.384295	71.800048	-33.122829
1479414259.284897	20.085356	71.091565	-35.074081
1479414259.297106	20.630863	70.770519	-35.417469
1479414259.315099	20.922425	70.237120	-36.392961
1479414259.465239	21.923691	64.674469	-44.867280
1479414259.483060	22.391219	64.392311	-45.634685
1479414259.489361	22.692819	64.235726	-45.898218
1479414259.501169	22.934099	64.110457	-46.109044
1479414259.513137	22.982280	63.457117	-46.277706
